year,rank,name
2016,991,Steve
2015,939,Steve
2014,860,Steve
2013,874,Steve
2012,754,Steve
2011,707,Steve
2010,786,Steve
2009,611,Steve
2008,595,Steve
2007,576,Steve
2006,536,Steve
2005,518,Steve
2004,506,Steve
2003,446,Steve
2002,452,Steve
2001,401,Steve
2000,394,Steve
1999,390,Steve
1998,390,Steve
1997,386,Steve
1996,369,Steve
1995,334,Steve
1994,345,Steve
1993,319,Steve
1992,303,Steve
1991,290,Steve
1990,267,Steve
1989,256,Steve
1988,249,Steve
1987,234,Steve
1986,235,Steve
1985,235,Steve
1984,218,Steve
1983,215,Steve
1982,229,Steve
1981,220,Steve
1980,201,Steve
1979,193,Steve
1978,193,Steve
1977,182,Steve
1976,167,Steve
1975,169,Steve
1974,167,Steve
1973,160,Steve
1972,143,Steve
1971,131,Steve
1970,113,Steve
1969,98,Steve
1968,89,Steve
1967,79,Steve
1966,67,Steve
1965,55,Steve
1964,51,Steve
1963,49,Steve
1962,46,Steve
1961,45,Steve
1960,43,Steve
1959,41,Steve
1958,44,Steve
1957,44,Steve
1956,59,Steve
1955,72,Steve
1954,76,Steve
1953,84,Steve
1952,85,Steve
1951,86,Steve
1950,83,Steve
1949,68,Steve
1948,60,Steve
1947,58,Steve
1946,69,Steve
1945,79,Steve
1944,89,Steve
1943,93,Steve
1942,102,Steve
1941,112,Steve
1940,121,Steve
1939,139,Steve
1938,149,Steve
1937,172,Steve
1936,178,Steve
1935,176,Steve
1934,177,Steve
1933,179,Steve
1932,177,Steve
1931,173,Steve
1930,169,Steve
1929,163,Steve
1928,162,Steve
1927,154,Steve
1926,151,Steve
1925,144,Steve
1924,139,Steve
1923,133,Steve
1922,130,Steve
1921,130,Steve
1920,127,Steve
1919,125,Steve
1918,109,Steve
1917,112,Steve
1916,108,Steve
1915,110,Steve
1914,112,Steve
1913,121,Steve
1912,123,Steve
1911,133,Steve
1910,136,Steve
1909,141,Steve
1908,161,Steve
1907,148,Steve
1906,153,Steve
1905,161,Steve
1904,156,Steve
1903,147,Steve
1902,182,Steve
1901,194,Steve
1900,150,Steve
2017,182,Steven
2016,167,Steven
2015,154,Steven
2014,145,Steven
2013,136,Steven
2012,112,Steven
2011,124,Steven
2010,117,Steven
2009,106,Steven
2008,104,Steven
2007,97,Steven
2006,90,Steven
2005,83,Steven
2004,78,Steven
2003,70,Steven
2002,68,Steven
2001,63,Steven
2000,54,Steven
1999,47,Steven
1998,46,Steven
1997,40,Steven
1996,38,Steven
1995,37,Steven
1994,34,Steven
1993,31,Steven
1992,29,Steven
1991,27,Steven
1990,25,Steven
1989,22,Steven
1988,24,Steven
1987,25,Steven
1986,25,Steven
1985,24,Steven
1984,23,Steven
1983,23,Steven
1982,26,Steven
1981,28,Steven
1980,28,Steven
1979,27,Steven
1978,24,Steven
1977,23,Steven
1976,20,Steven
1975,18,Steven
1974,19,Steven
1973,20,Steven
1972,19,Steven
1971,16,Steven
1970,15,Steven
1969,14,Steven
1968,15,Steven
1967,14,Steven
1966,13,Steven
1965,14,Steven
1964,12,Steven
1963,14,Steven
1962,12,Steven
1961,10,Steven
1960,10,Steven
1959,10,Steven
1958,10,Steven
1957,10,Steven
1956,10,Steven
1955,10,Steven
1954,11,Steven
1953,11,Steven
1952,11,Steven
1951,13,Steven
1950,16,Steven
